# Notification catalogue coverage (viewer-notification-catalogue).
# Every reference notifications.xml entry -> owning family, status,
# owning task. status: ported (in this task's catalogue) | done (a
# bespoke dialog task already handles it) | followup (its family's
# follow-up task owns porting it) | excluded (not actually a
# notification: a form-template element the audit swept up).
# Regenerate notes in the task file.
name	family	status	owner
MissingAlert	diagnostics	ported	viewer-notification-catalogue-diagnostics
FloaterNotFound	diagnostics	ported	viewer-notification-catalogue-diagnostics
TutorialNotFound	ui-hints	ported	viewer-notification-catalogue-ui-hints
GenericAlert	misc	ported	viewer-notification-catalogue-misc
GenericAlertYesCancel	misc	ported	viewer-notification-catalogue-misc
GenericAlertOK	misc	ported	viewer-notification-catalogue-misc
BadInstallation	diagnostics	ported	viewer-notification-catalogue-diagnostics
FoundLegacyNsisInstallation	diagnostics	ported	viewer-notification-catalogue-diagnostics
LoginFailedNoNetwork	login-session	ported	viewer-notification-catalogue-login-session
LoginFailedToParse	login-session	ported	viewer-notification-catalogue-login-session
MessageTemplateNotFound	diagnostics	ported	viewer-notification-catalogue-diagnostics
WearableSave	appearance-wearables	ported	viewer-notification-catalogue-appearance-wearables
ConfirmNoCopyToOutbox	marketplace	ported	viewer-notification-catalogue-marketplace
OutboxFolderCreated	marketplace	ported	viewer-notification-catalogue-marketplace
OutboxImportComplete	marketplace	ported	viewer-notification-catalogue-marketplace
OutboxImportHadErrors	marketplace	ported	viewer-notification-catalogue-marketplace
OutboxImportFailed	marketplace	ported	viewer-notification-catalogue-marketplace
OutboxInitFailed	marketplace	ported	viewer-notification-catalogue-marketplace
StockPasteFailed	marketplace	ported	viewer-notification-catalogue-marketplace
MyOutfitsPasteFailed	appearance-wearables	ported	viewer-notification-catalogue-appearance-wearables
MerchantPasteFailed	marketplace	ported	viewer-notification-catalogue-marketplace
MerchantTransactionFailed	marketplace	ported	viewer-notification-catalogue-marketplace
MerchantUnprocessableEntity	marketplace	ported	viewer-notification-catalogue-marketplace
MerchantListingFailed	marketplace	ported	viewer-notification-catalogue-marketplace
MerchantFolderActivationFailed	marketplace	ported	viewer-notification-catalogue-marketplace
InvalidKeystroke	misc	ported	viewer-notification-catalogue-misc
MerchantForceValidateListing	marketplace	ported	viewer-notification-catalogue-marketplace
ConfirmMerchantActiveChange	marketplace	ported	viewer-notification-catalogue-marketplace
ConfirmMerchantMoveInventory	marketplace	ported	viewer-notification-catalogue-marketplace
ConfirmListingCutOrDelete	marketplace	ported	viewer-notification-catalogue-marketplace
ConfirmCopyToMarketplace	marketplace	ported	viewer-notification-catalogue-marketplace
ConfirmMerchantUnlist	marketplace	ported	viewer-notification-catalogue-marketplace
ConfirmMerchantClearVersion	marketplace	ported	viewer-notification-catalogue-marketplace
AlertMerchantListingNotUpdated	marketplace	ported	viewer-notification-catalogue-marketplace
AlertMerchantListingCannotWear	marketplace	ported	viewer-notification-catalogue-marketplace
AlertMerchantListingInvalidID	marketplace	ported	viewer-notification-catalogue-marketplace
AlertMerchantListingActivateRequired	marketplace	ported	viewer-notification-catalogue-marketplace
AlertMerchantStockFolderSplit	marketplace	ported	viewer-notification-catalogue-marketplace
AlertMerchantStockFolderEmpty	marketplace	ported	viewer-notification-catalogue-marketplace
AlertMerchantVersionFolderEmpty	marketplace	ported	viewer-notification-catalogue-marketplace
WriteAnimationFail	avatar-movement	ported	viewer-notification-catalogue-avatar-movement
UploadAuctionSnapshotFail	snapshot-social	ported	viewer-notification-catalogue-snapshot-social
UnableToViewContentsMoreThanOne	objects-edit	ported	viewer-notification-catalogue-objects-edit
SaveClothingBodyChanges	appearance-wearables	ported	viewer-notification-catalogue-appearance-wearables
FriendsAndGroupsOnly	im-chat	ported	viewer-notification-catalogue-im-chat
FavoritesOnLogin	preferences	ported	viewer-notification-catalogue-preferences
AllowMultipleViewers	diagnostics	ported	viewer-notification-catalogue-diagnostics
